player_name,team,season,points,rebounds,assists,turnovers,minutes,fg_pct,plus_minus,playoffs_flag
Dante Exum,DAL,2025,8.7,1.7,2.8,1.1,18.6,0.478,0.0,False
Bruno Fernando,TOR,2025,3.4,3.0,1.1,0.8,8.6,0.531,0.0,False
Kyle Filipowski,UTA,2025,9.6,6.1,1.9,1.4,21.1,0.502,0.0,False
Dorian Finney-Smith,2TM,2025,8.7,3.9,1.4,0.9,28.9,0.448,0.0,False
Dorian Finney-Smith,BRK,2025,10.4,4.6,1.6,0.9,29.0,0.459,0.0,False
Dorian Finney-Smith,LAL,2025,7.9,3.6,1.4,0.9,28.8,0.442,0.0,False
Adam Flagler,OKC,2025,1.8,0.7,0.3,0.1,5.5,0.26,0.0,False
Trentyn Flowers,LAC,2025,1.8,0.7,0.0,0.2,4.5,0.364,0.0,False
Malachi Flynn,CHO,2025,4.0,1.8,1.8,1.0,11.0,0.385,0.0,False
Simone Fontecchio,DET,2025,5.9,2.9,0.9,0.7,16.5,0.402,0.0,False
De'Aaron Fox,2TM,2025,23.5,4.8,6.3,2.8,36.1,0.463,0.0,False
De'Aaron Fox,SAC,2025,25.0,5.0,6.1,3.0,37.0,0.469,0.0,False
De'Aaron Fox,SAS,2025,19.7,4.3,6.8,2.4,34.0,0.446,0.0,False
Enrique Freeman,IND,2025,2.1,1.4,0.4,0.3,8.2,0.432,0.0,False
Markelle Fultz,SAC,2025,2.9,1.0,1.3,0.7,8.8,0.418,0.0,False
Johnny Furphy,IND,2025,2.1,1.4,0.4,0.2,7.6,0.38,0.0,False
Daniel Gafford,DAL,2025,12.3,6.8,1.4,1.2,21.5,0.702,0.0,False
Darius Garland,CLE,2025,20.6,2.9,6.7,2.5,30.7,0.472,0.0,False
Marcus Garrett,CHO,2025,7.0,1.5,3.3,1.5,19.8,0.407,0.0,False
Luka Garza,MIN,2025,3.5,1.4,0.3,0.3,5.6,0.495,0.0,False
Keyonte George,UTA,2025,16.8,3.8,5.6,2.7,31.5,0.391,0.0,False
Kyshawn George,WAS,2025,8.7,4.2,2.5,1.4,26.5,0.372,0.0,False
Paul George,PHI,2025,16.2,5.3,4.3,2.6,32.5,0.43,0.0,False
Taj Gibson,CHO,2025,2.9,3.2,0.6,0.7,11.1,0.495,0.0,False
Josh Giddey,CHI,2025,14.6,8.1,7.2,2.9,30.2,0.465,0.0,False
Shai Gilgeous-Alexander,OKC,2025,32.7,5.0,6.4,2.4,34.2,0.519,0.0,False
Anthony Gill,WAS,2025,2.5,1.3,0.3,0.2,7.8,0.489,0.0,False
Collin Gillespie,PHO,2025,5.9,2.4,2.4,0.5,14.0,0.43,0.0,False
Rudy Gobert,MIN,2025,12.0,10.9,1.8,1.2,33.2,0.669,0.0,False
Jordan Goodwin,LAL,2025,5.6,3.9,1.4,0.9,18.7,0.438,0.0,False
Aaron Gordon,DEN,2025,14.7,4.8,3.2,1.4,28.4,0.531,0.0,False
Eric Gordon,PHI,2025,6.8,1.2,1.7,0.7,19.7,0.426,0.0,False
